Ser,locations,sites,Season,Date,Temperature oC,Conductivity µS/cm,Salinity %0,D.O mg/l,pH,Turbidity NTU,TSS mg/l,Ammonia µg/l,Nitrate  µg/l,Nitrite  µg/l,Phosphate  µg/l,Silicate  µg/l,Alkalinity as CaCO3 mg/l,Chlorophyl-? µg/l,Hydrocarbon µg/l,TOC mg/l,
321,Bapco,8,4,10-Oct-10,31.77," 64,710 ",43.58,5.31,7.93,7.55,9.00,8.355,10.120,2.148,2.120,44.013,118.33,1.563,3.861,,
322,Fasht Tighalib,4,4,10-Oct-10,31.52," 65,392 ",44.11,5.62,7.95,2.16,3.80,11.677,17.750,3.002,1.380,80.471,117.69,0.504,0.893,,
323,Ghumais,5,4,10-Oct-10,31.45," 65,253 ",44.01,4.93,7.96,3.57,4.00,2.925,10.051,2.965,1.530,63.758,116.72,0.457,1.286,,
324,Jabbari,3,4,10-Oct-10,31.62," 65,905 ",44.50,5.59,7.94,4.26,5.40,8.822,18.489,7.248,1.030,134.385,119.58,0.336,1.655,,
325,Mashtan,2,4,10-Oct-10,31.43," 65,848 ",44.47,5.62,7.92,2.63,3.41,6.334,20.047,3.564,0.750,60.245,119.83,0.455,1.721,,
326,Msoor,7,4,10-Oct-10,31.22," 64,230 ",43.23,4.98,7.95,5.10,6.00,4.110,0.682,1.240,1.240,150.696,120.35,0.816,1.743,,
327,Qassar Noon,1,4,10-Oct-10,31.45," 66,639 ",45.08,5.59,7.91,9.94,7.06,13.013,32.976,5.927,1.280,142.209,119.54,0.936,0.839,,
328,Al Gaha,9,4,11-Oct-10,32.34," 63,870 ",42.91,5.68,8.03,2.32,6.50,11.388,5.151,0.455,2.890,27.083,121.04,0.378,0.900,,
329,Al Gazara,12,4,11-Oct-10,32.04," 62,700 ",42.04,5.83,8.04,1.23,4.50,14.861,0.000,0.773,ND,990.970,125.16,0.003,0.000,,
330,Dam,13,4,11-Oct-10,32.08," 63,631 ",42.72,5.80,8.01,1.43,2.53,21.421,0.000,0.260,0.020,4.360,123.18,0.447,1.758,,
331,Fa'ash,11,4,11-Oct-10,32.16," 63,331 ",42.51,5.72,8.02,1.55,6.24,11.128,14.361,1.520,2.940,5.661,122.09,0.687,0.688,,
332,Qita’at Jaradah,14,4,11-Oct-10,31.99," 63,979 ",43.01,5.80,7.96,1.64,4.20,26.272,2.189,0.168,0.750,48.117,125.68,0.478,0.791,,
333,Suhain,10,4,11-Oct-10,32.33," 63,658 ",42.74,5.69,8.04,2.95,5.63,7.646,0.691,2.165,1.570,251.354,123.14,0.690,0.669,,
334,Al Jarim,16,4,12-Oct-10,31.95," 61,711 ",41.28,5.65,8.01,1.07,4.72,5.720,0.000,0.000,1.250,216.477,123.46,0.245,3.191,,
335,Khor fasht,17,4,12-Oct-10,32.08," 67,494 ",45.72,5.49,7.94,2.33,6.53,8.084,0.130,0.016,0.800,16.867,126.37,0.383,1.702,,
336,Marina Club,15,4,12-Oct-10,31.85," 65,835 ",44.30,5.91,7.87,3.34,14.80,8.771,1.204,0.901,2.460,49.301,116.27,0.621,1.093,,
337,Marwada,18,4,12-Oct-10,31.89," 66,744 ",45.14,5.54,7.99,1.21,5.75,11.296,5.778,0.124,1.730,15.205,121.68,0.383,1.755,,
338,Al Jasra,23,4,17-Oct-10,29.55," 75,143 ",51.85,5.81,7.96,2.52,4.47,10.800,11.785,1.881,1.201,44.562,121.64,0.341,1.009,,
339,Bartafi,19,4,17-Oct-10,29.00," 70,761 ",48.54,6.06,7.95,1.35,4.24,7.114,19.187,2.948,0.603,7.434,120.63,0.820,5.087,,
340,Jazirat Ya’suf,22,4,17-Oct-10,29.26," 77,520 ",53.74,5.71,7.96,3.42,11.06,9.545,3.924,1.005,1.228,16.764,124.35,0.407,1.125,,
341,Qassar,20,4,17-Oct-10,30.45," 77,630 ",53.81,5.60,7.96,1.55,7.29,4.755,13.176,0.356,0.296,ND,125.85,0.713,3.134,,
342,Umm Al na'asan,21,4,17-Oct-10,30.76," 77,562 ",53.73,5.55,7.98,2.07,3.18,8.802,2.148,0.811,0.307,ND,126.82,0.557,1.226,,
343,Al Jarim,16,1,18-Jan-11,17.06," 63,681 ",43.07,10.87,8.08,2.94,4.60,5.608,6.204,0.590,1.124,9.659,127.27,2.031,1.377,,
344,Bartafi,19,1,18-Jan-11,16.93," 72,477 ",49.88,10.48,8.11,1.72,3.50,6.620,6.428,0.636,0.887,4.326,127.91,1.168,1.104,,
345,Khor fasht,17,1,18-Jan-11,17.30," 68,052 ",46.44,10.57,8.11,2.53,5.10,4.563,3.208,0.672,1.042,11.114,134.82,0.803,1.384,,
346,Marina Club,15,1,18-Jan-11,17.32," 66,370 ",45.17,10.61,8.20,2.98,3.80,7.825,13.801,1.386,5.601,Nil,127.73,2.784,1.713,,
347,Marwada,18,1,18-Jan-11,17.30," 69,117 ",47.25,10.52,8.12,1.26,11.50,5.154,6.654,0.410,0.806,17.658,134.82,0.748,0.788,,
348,Al Jasra,23,1,19-Jan-11,15.80," 73,721 ",50.79,7.28,8.09,2.26,5.56,9.707,15.868,1.932,1.240,6.023,129.10,0.282,1.147,,
349,Jazirat Ya’suf,22,1,19-Jan-11,16.68," 78,273 ",54.47,6.94,8.08,1.93,5.90,10.904,9.371,0.414,1.201,0.508,129.49,0.290,0.827,,
350,Qassar,20,1,19-Jan-11,17.77," 80,552 ",56.37,9.82,8.01,1.17,6.70,5.403,1.302,0.708,0.470,6.503,137.94,0.697,2.294,,
351,Umm Al na'asan,21,1,19-Jan-11,17.67," 80,534 ",56.33,6.65,8.10,0.83,2.87,6.096,3.364,0.132,0.761,1.767,133.98,0.132,1.158,,
352,Al Gaha,9,1,20-Jan-11,17.70," 64,580 ",43.75,7.28,8.14,1.35,3.45,8.395,4.207,1.320,4.434,0.436,130.50,0.907,0.718,,
353,Askar,6,1,20-Jan-11,17.86," 65,888 ",44.86,6.27,8.10,1.32,3.56,12.427,21.322,2.315,4.788,14.766,123.29,0.621,1.138,,
354,Bapco,8,1,20-Jan-11,17.76," 64,295 ",43.59,6.35,8.01,2.79,5.10,13.987,29.661,2.237,6.230,7.087,128.00,0.592,1.242,,
355,Fasht Tighalib,4,1,20-Jan-11,17.44," 66,828 ",45.48,7.16,8.14,0.85,3.37,6.475,11.373,0.107,1.463,0.970,129.67,0.369,0.427,,
356,Ghumais,5,1,20-Jan-11,17.33," 65,706 ",44.61,7.25,8.12,1.94,4.46,6.678,16.972,0.849,1.611,2.158,128.04,0.386,0.623,,
357,Jabbari,3,1,20-Jan-11,17.15," 66,557 ",45.27,7.25,8.15,1.32,3.70,7.337,10.353,0.000,1.682,31.541,130.02,0.746,0.796,,
358,Mashtan,2,1,20-Jan-11,17.20," 67,272 ",45.82,7.09,8.13,1.22,2.59,15.169,5.301,0.448,1.242,5.002,125.93,0.666,0.726,,
359,Msoor,7,1,20-Jan-11,17.42," 65,588 ",44.52,7.23,8.09,1.52,3.73,5.217,9.565,1.419,2.335,116.880,129.32,0.582,1.022,,
360,Qassar Noon,1,1,20-Jan-11,17.39," 69,522 ",47.58,6.97,8.14,1.16,3.47,7.320,1.673,0.762,1.960,Nil,132.84,1.044,0.741,,
361,Al Gazara,12,1,21-Jan-11,18.14," 64,552 ",43.74,7.21,8.10,2.08,3.90,8.538,2.112,0.603,2.001,5.879,135.87,0.560,0.765,,
362,Dam,13,1,21-Jan-11,18.06," 64,616 ",43.78,7.23,8.08,1.71,3.55,8.358,5.574,1.296,1.369,15.795,130.46,0.475,1.194,,
363,Fa'ash,11,1,21-Jan-11,18.05," 64,177 ",43.45,7.24,8.10,1.34,4.68,8.042,17.963,0.798,3.179,10.628,130.11,0.320,1.863,,
364,Qita’at Jaradah,14,1,21-Jan-11,18.06," 64,533 ",43.72,7.21,8.06,1.50,8.38,4.758,0.000,2.074,1.369,13.730,135.56,1.092,0.791,,
365,Suhain,10,1,21-Jan-11,18.00," 64,366 ",43.59,7.25,8.13,5.23,21.50,7.844,16.511,1.369,4.878,7.347,128.22,0.556,1.088,,
366,Al Gaha,9,2,24-Apr-11,25.66," 64,322 ",43.49,5.82,8.19,1.33,4.53,4.603,10.569,1.945,3.812,6.913,128.30,0.480,0.650,,
367,Askar,6,2,24-Apr-11,26.03," 64,556 ",43.67,6.04,8.15,1.06,4.20,5.254,0.364,2.133,1.022,30.906,128.30,0.536,0.625,,
368,Bapco,8,2,24-Apr-11,26.12," 64,432 ",43.62,5.74,8.18,3.55,6.39,16.770,30.565,3.370,4.782,35.385,128.60,0.804,0.712,,
369,Fasht Tighalib,4,2,24-Apr-11,25.26," 65,351 ",44.30,6.21,8.15,1.35,3.74,5.282,9.589,0.837,0.268,27.965,127.40,0.502,0.641,,
370,Ghumais,5,2,24-Apr-11,25.40," 64,976 ",44.01,6.30,8.07,1.39,5.10,6.624,7.079,1.202,1.664,21.374,128.30,1.008,0.552,,
371,Jabbari,3,2,24-Apr-11,24.97," 65,130 ",44.14,6.25,8.19,1.29,4.40,5.662,9.643,0.133,0.441,0.000,129.10,0.424,0.616,,
372,Mashtan,2,2,24-Apr-11,25.40," 67,566 ",46.04,6.11,8.22,1.07,4.60,6.278,2.807,0.348,0.000,4.913,129.60,0.202,0.463,,
373,Msoor,7,2,24-Apr-11,26.42," 64,460 ",43.58,6.18,8.20,5.54,8.20,17.344,10.912,2.707,2.893,68.148,130.60,0.783,0.780,,
374,Qassar Noon,1,2,24-Apr-11,24.50," 72,003 ",49.27,6.81,8.08,1.57,5.00,6.735,5.086,0.792,0.000,22.500,131.00,0.329,0.555,,
375,Al Gazara,12,2,25-Apr-11,24.91," 64,300 ",43.50,6.41,8.14,0.87,3.60,3.423,15.450,1.731,0.840,0.000,128.20,0.452,0.661,,
376,Dam,13,2,25-Apr-11,24.80," 64,352 ",43.49,6.39,8.14,1.32,3.10,0.000,3.552,0.372,0.428,0.000,128.40,0.049,0.362,,
377,Fa'ash,11,2,25-Apr-11,24.70," 64,188 ",43.41,6.34,8.18,1.61,11.52,3.645,5.409,0.570,1.027,21.006,127.90,0.409,1.050,,
378,Qita’at Jaradah,14,2,25-Apr-11,25.52," 64,242 ",43.43,6.34,8.06,1.08,3.70,4.507,7.148,0.466,0.407,0.000,129.20,0.254,0.355,,
379,Suhain,10,2,25-Apr-11,25.10," 64,293 ",43.49,6.00,8.18,2.14,4.50,4.625,9.464,1.151,1.714,8.290,128.20,0.231,0.458,,
380,Al Jarim,16,2,26-Apr-11,25.21," 63,479 ",42.86,5.91,8.11,0.94,3.60,7.576,0.000,1.643,0.575,41.207,128.70,0.132,0.253,,
381,Bartafi,19,2,26-Apr-11,25.85," 71,475 ",49.18,5.79,8.16,0.90,3.70,6.842,1.743,1.719,0.753,0.000,128.30,0.563,0.766,,
382,Khor fasht,17,2,26-Apr-11,25.37," 67,780 ",46.25,5.92,8.14,1.77,5.20,5.726,0.484,0.835,0.518,0.344,128.20,0.313,0.299,,
383,Marina Club,15,2,26-Apr-11,26.21," 65,135 ",44.10,5.96,8.12,1.18,4.90,11.922,3.103,2.116,8.303,55.922,126.70,0.514,0.867,,
384,Marwada,18,2,26-Apr-11,25.44," 68,775 ",47.66,5.80,8.15,2.22,6.93,7.163,1.317,1.116,0.919,3.446,128.60,0.438,0.353,,
385,Al Jasra,23,2,27-Apr-11,27.17," 77,270 ",53.65,5.79,7.92,1.85,3.30,8.751,2.249,1.034,0.764,65.405,129.80,0.136,0.377,,
386,Jazirat Ya’suf,22,2,27-Apr-11,25.75," 77,785 ",54.10,5.96,7.89,1.15,4.14,5.337,0.000,1.288,0.325,20.534,129.20,0.162,0.334,,
387,Qassar,20,2,27-Apr-11,25.48," 76,687 ",53.23,6.02,7.85,0.67,3.10,7.627,0.000,0.110,0.000,3.781,129.70,0.297,0.339,,
388,Umm Al na'asan,21,2,27-Apr-11,25.32," 77,508 ",53.89,6.01,7.90,0.70,4.20,6.392,0.391,0.128,0.213,0.000,129.50,0.234,0.333,,
389,Al Gaha,9,3,10-Jul-11,32.26," 63,784 ",42.84,5.70,8.04,1.87,4.32,11.916,24.574,1.349,3.346,118.682,125.80,0.105,0.168,,
390,Askar,6,3,10-Jul-11,32.11," 64,786 ",43.63,5.34,8.01,2.70,4.80,10.042,11.837,1.039,1.398,147.700,125.60,0.144,0.405,,
391,Bapco,8,3,10-Jul-11,32.17," 64,298 ",43.42,5.34,7.95,3.26,3.50,9.930,12.161,2.115,2.449,156.453,127.50,0.269,0.497,,
392,Fasht Tighalib,4,3,10-Jul-11,31.81," 66,927 ",45.29,4.83,8.03,1.28,4.30,9.310,13.181,0.878,1.258,154.912,124.70,0.292,0.166,,
393,Ghumais,5,3,10-Jul-11,31.51," 66,334 ",44.84,4.88,8.02,1.27,3.60,9.928,10.279,0.507,0.919,114.742,122.20,0.078,0.161,,
394,Jabbari,3,3,10-Jul-11,31.69," 66,812 ",45.22,5.68,8.00,1.05,3.54,9.954,12.451,0.721,1.516,152.944,126.00,0.074,0.281,,
395,Mashtan,2,3,10-Jul-11,32.65," 67,269 ",46.05,4.76,8.06,1.56,3.02,8.974,12.318,0.707,1.530,154.114,125.40,0.049,0.333,,
396,Msoor,7,3,10-Jul-11,31.90," 64,384 ",43.32,5.39,8.00,1.63,1.35,9.659,23.610,1.380,1.209,135.336,124.40,0.097,0.390,,
397,Qassar Noon,1,3,10-Jul-11,32.61," 72,175 ",49.35,5.24,7.96,1.22,2.70,9.330,27.524,1.345,1.779,195.586,126.90,0.490,0.290,,
398,Al Gazara,12,3,11-Jul-11,31.99," 63,536 ",42.67,6.64,7.91,1.16,3.05,10.075,1.214,0.000,2.193,94.242,126.90,0.045,0.304,,
399,Dam,13,3,11-Jul-11,31.93," 64,224 ",43.20,6.62,7.88,1.12,5.21,10.709,1.496,2.325,1.347,108.199,126.30,0.001,0.308,,
400,Fa'ash,11,3,11-Jul-11,31.95," 63,411 ",42.57,5.89,7.90,1.03,2.95,10.672,3.463,0.663,2.312,111.931,126.50,0.027,0.595,,
401,Marina Club,15,3,11-Jul-11,32.26," 65,110 ",43.86,5.77,7.85,1.10,2.95,10.768,2.080,0.310,4.845,103.436,126.20,0.111,0.200,,
402,Qita’at Jaradah,14,3,11-Jul-11,32.92," 64,121 ",43.10,6.64,7.78,1.45,2.14,8.745,8.779,0.055,1.187,123.091,127.70,0.029,0.155,,
403,Suhain,10,3,11-Jul-11,32.23," 63,613 ",42.71,3.32,7.78,1.66,4.56,32.898,17.897,2.899,14.337,101.561,126.20,0.025,0.205,,
404,Al Jarim,16,3,12-Jul-11,32.15," 62,289 ",41.70,5.61,7.87,3.86,6.29,5.667,6.477,0.229,0.762,77.547,126.60,0.000,0.151,,
405,Khor fasht,17,3,12-Jul-11,32.38," 65,623 ",44.25,5.68,7.81,1.66,4.75,7.781,16.432,1.901,0.780,149.430,125.60,0.006,0.202,,
406,Marwada,18,3,12-Jul-11,32.49," 66,578 ",44.98,4.86,7.84,1.23,3.76,8.724,13.354,0.996,1.722,129.914,125.80,0.000,0.307,,
407,Al Jasra,23,3,13-Jul-11,34.07," 75,450 ",51.89,4.87,7.77,1.33,4.84,7.762,10.953,1.232,1.040,198.846,127.60,0.015,0.217,,
408,Bartafi,19,3,13-Jul-11,33.10," 69,119 ",46.94,5.45,7.72,1.21,3.07,8.489,39.825,2.205,1.077,126.452,125.70,0.009,0.304,,
409,Jazirat Ya’suf,22,3,13-Jul-11,33.28," 77,518 ",53.56,5.53,7.78,1.62,3.92,7.583,1.551,0.858,0.914,191.288,129.20,0.214,0.216,,
410,Qassar,20,3,13-Jul-11,32.92," 76,359 ",52.65,5.58,7.80,1.32,3.09,4.770,0.100,0.166,0.802,139.919,130.10,0.000,0.324,,
411,Umm Al na'asan,21,3,13-Jul-11,32.89," 76,447 ",52.72,5.61,7.78,0.68,3.09,4.958,2.548,0.196,0.460,167.790,130.90,0.015,0.331,,
412,Al Gaha,9,3,9-Oct-11,29.07," 63,755 ",42.95,5.83,7.93,2.32,4.27,5.588,61.152,1.811,5.621,9.646,123.20,0.023,0.773,,
413,Askar,6,3,9-Oct-11,28.78," 64,119 ",43.25,6.21,7.91,2.56,3.88,8.702,10.406,1.393,3.699,131.516,119.11,0.000,6.287,,
414,Bapco,8,3,9-Oct-11,29.56," 64,091 ",43.19,5.63,7.96,3.92,7.63,8.263,16.905,2.937,4.791,128.986,121.84,0.303,8.084,,
415,Fasht Tighalib,4,3,9-Oct-11,29.18," 64,852 ",43.79,6.12,7.87,0.94,4.37,9.074,12.520,1.496,1.731,52.455,120.69,0.140,1.876,,
416,Ghumais,5,3,9-Oct-11,28.81," 64,291 ",43.37,6.21,7.90,1.24,2.65,1.355,5.000,1.144,3.089,36.283,123.29,0.000,1.598,,
417,Jabbari,3,3,9-Oct-11,29.12," 64,749 ",43.75,6.06,7.45,2.04,28.50,5.426,13.480,1.636,0.386,50.051,121.88,0.000,6.258,,
418,Mashtan,2,3,9-Oct-11,28.96," 65,831 ",44.56,5.96,7.82,0.93,4.93,6.981,8.251,1.204,1.714,28.308,120.96,1.804,2.667,,
419,Msoor,7,3,9-Oct-11,28.68," 63,777 ",43.00,6.23,7.93,1.52,3.43,3.899,10.697,0.888,3.064,7.712,119.24,0.000,3.900,,
420,Qassar Noon,1,3,9-Oct-11,29.27," 67,235 ",45.63,5.82,7.71,1.15,3.57,9.093,13.306,4.390,0.625,62.585,121.84,0.000,1.989,,
421,Al Gazara,12,3,10-Oct-11,29.85," 63,424 ",42.66,6.07,7.95,1.02,2.04,6.708,2.625,0.000,0.746,6.691,120.96,0.123,0.437,,
422,Dam,13,3,10-Oct-11,30.16," 63,525 ",42.73,5.83,7.92,1.33,3.55,9.034,0.178,0.000,0.377,62.888,118.87,0.038,0.420,,
423,Fa'ash,11,3,10-Oct-11,29.59," 63,470 ",42.71,4.95,7.92,0.82,2.63,9.437,39.132,0.704,3.403,12.442,119.11,0.100,0.422,,
424,Marina Club,15,3,10-Oct-11,29.13," 64,661 ",43.64,6.20,7.95,1.64,4.38,12.962,0.762,1.111,3.436,0.000,119.90,0.886,0.424,,
425,Qita’at Jaradah,14,3,10-Oct-11,29.46," 62,640 ",42.08,6.02,7.84,1.25,2.44,8.046,4.491,1.798,0.545,10.334,123.33,0.122,5.953,,
426,Suhain,10,3,10-Oct-11,29.97," 63,660 ",42.85,4.83,7.93,1.55,4.86,10.658,50.362,0.903,6.311,18.353,119.20,0.207,0.424,,
427,Al Jarim,16,3,11-Oct-11,29.16," 62,374 ",41.91,6.02,7.92,2.21,5.11,20.116,0.000,0.028,0.565,12.656,121.84,0.000,0.422,,
428,Bartafi,19,3,11-Oct-11,28.97," 67,205 ",49.41,5.70,7.91,1.64,6.70,13.940,20.530,2.233,1.813,178.713,123.24,0.210,0.520,,
429,Khor fasht,17,3,11-Oct-11,29.14," 67,654 ",45.98,5.88,7.90,1.55,4.63,35.959,0.000,0.731,0.057,8.544,122.45,0.070,0.207,,
430,Marwada,18,3,11-Oct-11,29.09," 68,800 ",46.85,5.83,7.93,1.65,5.83,6.672,8.532,1.188,0.694,20.936,122.63,0.291,0.425,,
431,Al Jasra,23,3,12-Oct-11,29.28," 75,962 ",52.51,5.67,7.92,3.53,9.04,9.580,7.687,2.025,1.359,173.549,125.11,0.279,0.669,,
432,Jazirat Ya’suf,22,3,12-Oct-11,29.49," 77,135 ",53.44,5.47,7.90,1.37,5.19,11.509,4.444,2.973,1.290,53.128,127.95,0.197,0.879,,
433,Qassar,20,3,12-Oct-11,29.85," 77,029 ",53.46,5.64,7.82,1.78,4.32,8.306,0.000,0.532,0.682,14.891,123.73,0.354,0.338,,
434,Umm Al na'asan,21,3,12-Oct-11,29.91," 77,756 ",53.92,5.60,7.87,1.17,5.74,9.218,0.000,1.750,1.344,0.000,125.49,0.573,0.773,,
435,Al Gaha,9,3,16-Jan-12,18.38," 63,933 ",43.27,7.20,8.21,1.28,3.70,16.354,2.900,0.250,6.571,40.412,131.34,0.566,1.242,,
436,Askar,6,3,16-Jan-12,17.00," 64,900 ",43.99,7.10,8.11,1.60,12.20,14.286,3.460,0.397,3.535,182.262,124.53,0.375,0.475,,
437,Bapco,8,3,16-Jan-12,17.70," 63,059 ",42.64,6.02,8.03,2.22,5.80,30.222,7.500,0.889,4.454,47.604,132.03,0.711,5.242,,
438,Fasht Tighalib,4,3,16-Jan-12,17.71," 65,084 ",44.15,7.41,8.13,1.59,4.00,19.597,6.000,0.381,1.826,41.360,131.53,0.195,2.700,,
439,Ghumais,5,3,16-Jan-12,17.57," 64,809 ",43.92,7.42,8.17,3.70,5.20,10.858,2.720,2.617,2.096,35.051,131.24,0.306,1.963,,
440,Jabbari,3,3,16-Jan-12,17.75," 65,630 ",44.56,7.26,8.16,2.34,3.40,17.802,4.970,0.000,1.065,22.669,118.91,0.134,0.518,,
441,Mashtan,2,3,16-Jan-12,17.11," 69,360 ",47.45,7.39,8.15,0.82,5.43,11.101,2.780,0.053,1.084,65.316,129.17,0.215,1.378,,
442,Msoor,7,3,16-Jan-12,17.30," 64,740 ",43.93,7.47,8.15,1.61,4.40,12.324,0.510,0.541,3.851,45.617,132.62,0.302,1.056,,
443,Qassar Noon,1,3,16-Jan-12,16.90," 75,540 ",52.30,6.74,8.12,0.68,3.20,9.746,4.320,0.288,2.364,30.806,137.45,0.269,1.288,,
444,Al Gazara,12,3,17-Jan-12,17.93," 64,013 ",43.32,7.03,8.16,2.64,5.30,6.025,1.390,1.907,2.041,22.091,137.84,0.429,0.639,,
445,Dam,13,3,17-Jan-12,17.93," 63,709 ",43.09,7.04,8.12,2.03,4.60,1.350,6.350,0.487,2.492,62.477,142.97,0.151,1.223,,
446,Fa'ash,11,3,17-Jan-12,17.99," 63,997 ",43.32,7.07,8.17,1.96,4.30,9.618,4.540,0.231,4.392,21.567,120.00,0.142,2.462,,
447,Marina Club,15,3,17-Jan-12,17.33," 65,030 ",44.07,7.25,8.16,2.51,4.74,5.093,15.840,1.868,8.907,48.184,120.49,1.815,5.384,,
448,Qita’at Jaradah,14,3,17-Jan-12,17.44," 63,100 ",42.58,6.93,8.00,1.73,3.90,3.395,4.020,0.443,1.577,66.491,137.05,0.241,0.683,,
449,Suhain,10,3,17-Jan-12,18.07," 63,943 ",43.27,7.07,8.14,2.40,3.50,6.275,3.050,0.680,6.027,27.862,121.97,0.256,2.951,,
450,Al Jasra,23,3,18-Jan-12,16.48," 76,969 ",53.42,6.92,8.16,1.63,4.60,2.687,50.240,0.658,0.495,30.133,123.05,0.222,1.203,,
451,Bartafi,19,3,18-Jan-12,16.73," 72,899 ",50.22,7.08,8.03,1.25,4.80,4.105,11.420,0.340,0.187,25.426,122.36,0.066,2.485,,
452,Jazirat Ya’suf,22,3,18-Jan-12,16.77," 79,134 ",55.17,6.98,8.14,0.94,5.80,3.126,10.080,0.276,0.835,22.217,123.74,0.089,0.718,,
453,Qassar,20,3,18-Jan-12,16.82," 79,115 ",55.15,6.92,8.05,0.91,3.70,4.168,10.300,0.346,0.265,22.284,125.62,0.043,2.035,,
454,Umm Al na'asan,21,3,18-Jan-12,17.05," 79,310 ",55.32,6.88,8.12,0.89,3.10,3.341,8.850,0.225,0.368,29.980,122.07,0.336,1.099,,
455,Al Jarim,16,3,19-Jan-12,17.97," 62,803 ",42.37,7.33,7.97,1.51,3.20,13.101,3.640,1.033,0.168,20.941,122.36,0.297,1.421,,
456,Khor fasht,17,3,19-Jan-12,17.38," 66,752 ",45.42,7.33,8.16,0.97,4.50,9.927,1.810,0.499,0.156,34.127,120.19,0.600,1.288,,
457,Marwada,18,3,19-Jan-12,17.56," 71,736 ",49.31,7.06,8.16,0.68,3.40,6.136,0.670,0.391,0.489,13.354,120.79,0.470,0.888,,
458,Ghumais,5,3,14-Apr-12,ND, ND ,ND,7.86,7.83,1.49,2.95,6.621,6.505,0.000,0.582,24.891,128.52,0.077,,,
459,Al Gaha,9,3,15-Apr-12,25.65," 64,758 ",43.83,9.87,8.37,1.27,4.33,10.975,18.458,0.452,4.181,18.394,122.07,0.181,5.994,,
460,Askar,6,3,15-Apr-12,24.19," 64,655 ",43.79,6.11,8.22,3.34,14.84,8.076,3.677,0.666,2.352,112.301,129.26,1.733,3.232,,
461,Bapco,8,3,15-Apr-12,24.13," 63,591 ",43.01,6.11,8.21,3.61,6.20,17.938,13.624,2.086,2.132,46.420,125.02,1.576,5.850,,
462,Fasht Tighalib,4,3,15-Apr-12,24.11," 66,875 ",45.51,6.50,8.23,1.12,3.31,11.404,5.606,0.576,0.496,19.736,122.17,0.497,5.680,,
463,Ghumais,5,3,15-Apr-12,24.15," 65,417 ",44.37,6.65,8.23,1.35,5.33,17.355,4.749,0.232,0.292,27.892,124.73,0.578,7.598,,
464,Jabbari,3,3,15-Apr-12,24.05," 67,220 ",45.84,6.18,8.22,1.23,3.18,13.824,3.754,0.232,0.668,21.319,128.48,0.492,2.660,,
465,Mashtan,2,3,15-Apr-12,23.58," 70,574 ",48.41,6.42,8.20,1.07,3.11,13.239,15.909,0.248,1.082,37.105,124.43,0.346,2.468,,
466,Msoor,7,3,15-Apr-12,24.22," 64,814 ",43.92,6.70,8.26,1.59,3.56,24.583,13.624,2.086,1.409,68.148,125.42,1.576,10.890,,
467,Qassar Noon,1,3,15-Apr-12,23.41," 70,210 ",48.00,6.11,8.21,1.02,3.54,8.497,12.817,1.336,0.055,20.240,126.60,0.108,2.687,,
468,Al Gazara,12,3,16-Apr-12,23.14," 64,298 ",43.54,6.63,8.28,0.86,1.90,9.430,3.674,1.694,1.016,11.425,127.39,0.180,1.463,,
469,Dam,13,3,16-Apr-12,22.96," 64,240 ",43.48,6.64,8.25,1.04,3.21,13.709,2.148,0.558,0.746,9.933,119.90,0.198,1.864,,
470,Fa'ash,11,3,16-Apr-12,23.48," 64,343 ",43.56,6.77,8.17,0.94,1.87,36.478,18.836,4.579,4.357,14.247,126.11,0.353,1.996,,
471,Marina Club,15,3,16-Apr-12,24.02," 65,320 ",44.30,6.65,8.23,2.93,12.00,17.670,1.927,3.071,3.309,9.010,121.77,0.295,1.463,,
472,Qita’at Jaradah,14,3,16-Apr-12,23.14," 63,355 ",42.83,6.67,8.21,1.74,3.13,20.232,1.863,0.944,0.691,14.370,124.04,0.187,24.380,,
473,Suhain,10,3,16-Apr-12,24.17," 64,524 ",43.69,7.21,8.27,0.83,3.62,13.852,3.866,1.259,2.780,87.428,120.88,0.070,0.839,,
474,Al Jarim,16,3,17-Apr-12,22.84," 61,757 ",41.61,6.95,8.27,2.31,6.23,12.487,6.334,0.043,2.968,16.404,118.32,0.213,3.404,,
475,Bartafi,19,3,17-Apr-12,24.08," 74,139 ",51.23,5.96,8.19,1.65,4.65,5.445,2.984,0.389,1.184,19.905,123.05,0.821,2.108,,
476,Khor fasht,17,3,17-Apr-12,24.17," 69,454 ",47.52,6.26,8.24,2.54,3.92,6.541,2.895,0.455,1.031,24.166,121.08,0.181,2.329,,
477,Marwada,18,3,17-Apr-12,24.10," 71,001 ",48.74,6.24,8.23,1.21,4.60,6.989,1.471,0.253,0.879,18.055,121.48,0.373,2.025,,
478,Al Jasra,23,3,18-Apr-12,24.78," 78,273 ",54.51,6.23,8.21,2.36,4.80,22.631,4.008,1.385,0.239,49.320,123.94,0.249,0.900,,
479,Jazirat Ya’suf,22,3,18-Apr-12,23.59," 78,561 ",54.77,6.04,8.19,1.11,5.70,155.368,2.392,1.208,0.084,106.756,123.15,0.732,0.887,,
480,Qassar,20,3,18-Apr-12,23.60," 78,323 ",54.58,6.56,8.21,0.93,4.10,44.721,1.806,0.526,0.341,17.120,122.86,0.183,0.555,,
481,Umm Al na'asan,21,3,18-Apr-12,23.24," 77,690 ",54.12,6.65,8.16,1.04,2.15,21.450,7.255,0.118,0.591,21.190,122.66,0.472,2.549,,
